epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1547.88,1.5976,2.44117,1.07006,1.30693,0.79775,0.72141,0.80497,0.45623,0.79552,0.71277,0.78902,0.41115,1.58032,2.49265,1.03961,1.32732,0.004456,0.004456,0.004456
58,1575.59,1.60287,2.44643,1.08638,1.3237,0.7807,0.70035,0.7903,0.43517,0.77498,0.68767,0.77339,0.39329,1.56521,2.46873,1.07608,1.33201,0.004357,0.004357,0.004357
59,1602.49,1.56417,2.39711,1.06363,1.30249,0.8035,0.68656,0.78106,0.44706,0.79791,0.67535,0.76093,0.40263,1.55801,2.44928,1.06656,1.32007,0.004258,0.004258,0.004258
60,1629.85,1.60103,2.41085,1.0362,1.30701,0.80978,0.72166,0.81055,0.45977,0.80647,0.71022,0.79579,0.40791,1.57083,2.49107,1.03533,1.32624,0.004159,0.004159,0.004159
61,1656.18,1.58204,2.40123,1.01444,1.31857,0.79883,0.71466,0.80425,0.45759,0.79059,0.70289,0.78817,0.41199,1.54651,2.45415,1.03571,1.32066,0.00406,0.00406,0.00406
62,1682.71,1.60802,2.40051,1.04963,1.31453,0.81611,0.71803,0.81223,0.4605,0.8073,0.70701,0.79091,0.40563,1.57146,2.48319,1.0516,1.30281,0.003961,0.003961,0.003961
63,1709.14,1.63239,2.4399,1.06344,1.3326,0.78939,0.69823,0.79835,0.4368,0.80276,0.68399,0.78299,0.39735,1.61338,2.45026,1.0849,1.33999,0.003862,0.003862,0.003862
64,1735.31,1.57468,2.37692,1.02036,1.31045,0.81178,0.73231,0.82173,0.45032,0.81122,0.72128,0.80764,0.41498,1.62875,2.47706,1.00604,1.33158,0.003763,0.003763,0.003763
65,1761.49,1.57675,2.38526,1.04999,1.30045,0.79626,0.69959,0.79062,0.44582,0.80005,0.68308,0.77398,0.40005,1.55657,2.44733,1.08651,1.33861,0.003664,0.003664,0.003664
66,1787.81,1.60606,2.46056,1.10978,1.32172,0.81087,0.73231,0.81817,0.46331,0.80344,0.72327,0.80352,0.4172,1.55967,2.46895,1.03523,1.3114,0.003565,0.003565,0.003565
